timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769132665552,96,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-26,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-history,0,0,25
1769132665578,81,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-28,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-classification,0,0,21
1769132665659,89,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-28,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,27
1769132665649,101,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-27,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/average-speed,0,0,29
1769132665750,199,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-27,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-history,0,0,28
1769132665748,201,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-28,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/average-speed,0,0,30
1769132665779,171,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-29,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-classification,0,0,31
1769132665950,98,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-28,text,false,,2632,0,3,3,http://76.13.18.72:8000/api/traffic-history,0,0,38
1769132665950,100,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-29,text,false,,2632,0,2,2,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,38
1769132666178,870,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-31,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,50
1769132666577,472,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-33,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,52
1769132665977,1072,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-30,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,31
1769132666379,670,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-32,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,29
1769132666778,271,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-34,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,39
1769132666051,998,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-29,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/average-speed,0,0,35
1769132667048,108,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-30,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,39
1769132666975,181,GET - Traffic Classification,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-35,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-classification,0,0,34
1769132667048,108,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-34,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,39
1769132667048,111,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-33,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,39
1769132667048,112,GET - Traffic History,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-29,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-history,0,0,39
1769132667048,113,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-32,text,false,,2632,0,6,6,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,39
1769132667048,114,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-31,text,false,,2632,0,6,6,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,39
1769132667156,89,GET - Traffic History by ID,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-35,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/traffic-history/2000046,0,0,33
1769132667156,91,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-30,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/average-speed,0,0,34
1769132667162,85,GET - Average Speed,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,Thread Group 1-32,text,false,,2632,0,7,7,http://76.13.18.72:8000/api/average-speed,0,0,27
